word,dutch
a,1
aadorp,1
aagtdorp,1
aagtekerke,1
aaien,1
aait,1
aak,1
aal,1
aalanden,1
aalbeek,1
aalburg,1
aalden,1
aaldert,1
aaldonk,1
aalmoes,1
aalmoezenier,1
aalsmeer,1
aalsmeerderbrug,1
aalst,1
aalsum,1
aalsvoort,1
aalten,1
aalzum,1
aam,1
aambeeld,1
aambeelden,1
aambei,1
aan,1
aanbaksels,1
aanbellen,1
aanbeval,1
aanbeveel,1
aanbeveelt,1
aanbevelen,1
aanbeveling,1
aanbevelingen,1
aanbevolen,1
aanbidden,1
aanbidder,1
aanbidding,1
aanbidt,1
aanbied,1
aanbieden,1
aanbieder,1
aanbieders,1
aanbieding,1
aanbiedingen,1
aanbiedt,1
aanbindt,1
aanblik,1
aanbod,1
aanboden,1
aanbood,1
aanboren,1
aanbouw,1
aanbracht,1
aanbrachten,1
aanbrak,1
aanbreekt,1
aanbreken,1
aanbreng,1
aanbrengen,1
aanbrenging,1
aanbrengt,1
aandacht,1
aandachtig,1
aandachtige,1
aandachtiger,1
aandachtsgebieden,1
aandachtspunten,1
aandachtstrekker,1
aandeberg,1
aandeel,1
aandeelhouder,1
aandeelhouders,1
aandenken,1
aandepoppelaar,1
aandeschool,1
aandienen,1
aandient,1
aandoen,1
aandoende,1
aandoening,1
aandoeningen,1
aandoet,1
aandraaien,1
aandragen,1
aandrang,1
aandrift,1
aandring,1
aandringen,1
aandringt,1
aandrong,1
aandrongen,1
aandrukken,1
aanduid,1
aanduidde,1
aanduidden,1
aanduiden,1
aanduiding,1
aanduidingen,1
aanduidt,1
aandurft,1
aandurven,1
aandweil,1
aaneen,1
aaneengebouwd,1
aaneengeschakelde,1
aaneengesloten,1
aaneenschakelen,1
aaneenschakeling,1
aaneenvoegen,1
aanfluiten,1
aanga,1
aangaan,1
aangaande,1
aangaat,1
aangaf,1
aangaven,1
aangeblazen,1
aangeboden,1
aangeboren,1
aangebouwde,1
aangebracht,1
aangebrachte,1
aangebrande,1
aangedaan,1
aangedragen,1
aangedrongen,1
aangedrukt,1
aangeduid,1
aangeduide,1
aangeef,1
aangeeft,1
aangegaan,1
aangegeven,1
aangehaakt,1
aangehaald,1
aangehaalde,1
aangeharkt,1
aangehouden,1
aangejaagd,1
aangekaart,1
aangekaarte,1
aangeklaagd,1
aangeklaagde,1
aangeklopt,1
aangekocht,1
aangekomen,1
aangekondigd,1
aangekondigde,1
aangeland,1
aangeleerd,1
aangeleerde,1
aangelegd,1
aangelegde,1
aangelegen,1
aangelegenheden,1
aangelegenheid,1
aangeleverd,1
aangelijnd,1
aangemaakt,1
aangemaakte,1
aangemeld,1
aangemerkt,1
aangemoedigd,1
aangenaam,1
aangename,1
aangenomen,1
aangepakt,1
aangepast,1
aangepaste,1
aangeraakt,1
aangeraden,1
aangerand,1
aangereden,1
aangereikt,1
aangericht,1
aangeroepen,1
aangeroerd,1
aangeschaft,1
aangescherpt,1
aangeschoten,1
aangeschoven,1
aangeslagen,1
aangesloten,1
aangespannen,1
aangesproken,1
aangesteld,1
aangestelde,1
aangestipte,1
aangestoken,1
aangetast,1
aangetekend,1
aangetekende,1
aangetoond,1
aangetroffen,1
aangetrokken,1
aangevallen,1
aangevangen,1
aangeven,1
aangever,1
aangevochten,1
aangevoerd,1
aangevoerde,1
aangevraagd,1
aangevraagde,1
aangevreten,1
aangevuld,1
aangevulde,1
aangewend,1
aangewezen,1
aangezegd,1
aangezet,1
aangezette,1
aangezien,1
aangezogen,1
aangezwengeld,1
aangifte,1
aangiftebiljet,1
aangiftebiljetten,1
aangifteformulier,1
aangiftejaar,1
aangiften,1
aangiftes,1
aanging,1
aangingen,1
aangrenzen,1
aangrenzende,1
aangrijpen,1
aangroeien,1
aanhaak,1
aanhaakt,1
aanhaakte,1
aanhaakten,1
aanhaken,1
aanhalen,1
aanhaling,1
aanhalingstekens,1
aanhang,1
aanhangen,1
aanhanger,1
aanhangers,1
aanhangsel,1
aanhangwagen,1
aanhangwagens,1
aanhankelijkheid,1
aanhark,1
aanharken,1
aanharkt,1
aanharkte,1
aanharkten,1
aanhebben,1
aanhechten,1
aanhef,1
aanhield,1
aanhielden,1
aanhollen,1
aanholt,1
aanhoren,1
aanhoud,1
aanhouden,1
aanhoudend,1
aanhoudende,1
aanhouding,1
aanhoudt,1
aanjaagt,1
aanjagen,1
aanjoeg,1
aanjoegen,1
aankaart,1
aankaarten,1
aankaartte,1
aankan,1
aankeek,1
aankijk,1
aankijken,1
aankijkt,1
aanklacht,1
aanklachten,1
aanklagen,1
aanklager,1
aanklagers,1
aanklampen,1
aankleden,1
aankleven,1
aanklikken,1
aanklikt,1
aanklop,1
aankloppen,1
aanklopt,1
aanklopte,1
aanklopten,1
aanknoping,1
aanknopingspunt,1
aanknopingspunten,1
aankomen,1
aankomend,1
aankomende,1
aankomst,1
aankomsthal,1
aankomststation,1
aankomt,1
aankon,1
aankondig,1
aankondigde,1
aankondigden,1
aankondigen,1
aankondiger,1
aankondiging,1
aankondigingen,1
aankondigt,1
aankooide,1
aankoop,1
aankoopbedrag,1
aankruising,1
aankunnen,1
aankunt,1
aankwam,1
aankwamen,1
aanland,1
aanlandde,1
aanlandden,1
aanlanden,1
aanlandt,1
aanleerbaar,1
aanleerbaarheden,1
aanleerbare,1
aanleerde,1
aanleerden,1
aanleert,1
aanleg,1
aanlegde,1
aanlegden,1
aanleggen,1
aanlegger,1
aanlegplaats,1
aanlegplaatsen,1
aanlegt,1
aanleiding,1
aanleren,1
aanleunen,1
aanleunsituatie,1
aanleunwoning,1
aanleunwoningen,1
aanleveren,1
aanliggend,1
aanlokkelijk,1
aanlokkelijke,1
aanlokken,1
aanlokt,1
aanloop,1
aanloopadres,1
aanlopen,1
aanmaak,1
aanmaakt,1
aanmaken,1
aanmanen,1
aanmaning,1
aanmaningen,1
aanmatigend,1
aanmeld,1
aanmeldde,1
aanmeldden,1
aanmelden,1
aanmelder,1
aanmelders,1
aanmelding,1
aanmeldingen,1
aanmeldt,1
aanmerkelijk,1
aanmerkelijke,1
aanmerken,1
aanmerking,1
aanmerkingen,1
aanmerkt,1
aanmerkte,1
aanmerkten,1
aanmoedig,1
aanmoedigde,1
aanmoedigden,1
aanmoedigen,1
aanmoediging,1
aanmoedigt,1
aannaaien,1
aanname,1
aannamebeleid,1
