word,german
a,1
aachen,1
aal,1
aale,1
aalen,1
aals,1
aargau,1
aargaus,1
aas,1
aase,1
aases,1
aasgeiern,1
aasgeiers,1
ab,1
abakus,1
abandern,1
abandernd,1
abandernde,1
abanderndem,1
abandernden,1
abanderndes,1
abandert,1
abanderte,1
abanderten,1
abanderung,1
abanderungen,1
abanderungsantrag,1
abanderungsantrage,1
abanderungsantrages,1
abarbeiten,1
abarbeitend,1
abarbeitende,1
abarbeitendem,1
abarbeitender,1
abarbeitendes,1
abarbeitet,1
abarbeitete,1
abarbeiteten,1
abarbeitung,1
abart,1
abarten,1
abartig,1
abartige,1
abartigem,1
abartigen,1
abartiger,1
abartiges,1
abbake,1
abbau,1
abbauen,1
abbauend,1
abbauende,1
abbauenden,1
abbauender,1
abbauendes,1
abbaumoglichkeit,1
abbaumoglichkeiten,1
abbaus,1
abbaut,1
abbaute,1
abbauten,1
abbeissen,1
abbeisst,1
abbeizen,1
abbeizende,1
abbeizendem,1
abbeizenden,1
abbeizendes,1
abbeizt,1
abbeizte,1
abbeizten,1
abbekommen,1
abbekommend,1
abbekommendem,1
abbekommenden,1
abbekommender,1
abbekommene,1
abbekommenem,1
abbekommenen,1
abbekommenes,1
abbekommt,1
abberufen,1
abberufend,1
abberufendem,1
abberufenden,1
abberufender,1
abberufene,1
abberufenem,1
abberufenen,1
abberufenes,1
abberufungen,1
abbestellen,1
abbestellend,1
abbestellendem,1
abbestellenden,1
abbestellender,1
abbestellt,1
abbestellte,1
abbestelltem,1
abbestellten,1
abbestellter,1
abbestelltes,1
abbestellung,1
abbestellungen,1
abbetteln,1
abbettelnde,1
abbettelndem,1
abbettelnden,1
abbettelndes,1
abbettelt,1
abbettelte,1
abbezahlen,1
abbezahlend,1
abbezahlende,1
abbezahlendes,1
abbezahlt,1
abbezahlte,1
abbezahlten,1
abbiegen,1
abbiegend,1
abbiegende,1
abbiegenden,1
abbiegender,1
abbiegendes,1
abbiegt,1
abbild,1
abbilden,1
abbilder,1
abbildern,1
abbildes,1
abbildet,1
abbildete,1
abbildeten,1
abbildung,1
abbildungen,1
abbinden,1
abbindend,1
abbindendem,1
abbindenden,1
abbindender,1
abbindet,1
abbitte,1
abbitten,1
abblasen,1
abblasend,1
abblasende,1
abblasenden,1
abblasender,1
abblasendes,1
abblattern,1
abblatternd,1
abblatternde,1
abblatterndem,1
abblatternden,1
abblatternder,1
abblattert,1
abblatterte,1
abblatterten,1
abblenden,1
abblendend,1
abblendende,1
abblendendem,1
abblendenden,1
abblendender,1
abblendendes,1
abblendet,1
abblendete,1
abblendeten,1
abblendlicht,1
abblendlichter,1
abblendlichtern,1
abblendlichtes,1
abblendschaltern,1
abblendschalters,1
abblitzen,1
abblitzende,1
abblitzendem,1
abblitzenden,1
abblitzendes,1
abblitzt,1
abblitzte,1
abblitzten,1
abblocken,1
abblockt,1
abblockte,1
abblockten,1
abbog,1
abbrach,1
abbrannte,1
abbrannten,1
abbrausen,1
abbrausend,1
abbrausende,1
abbrausenden,1
abbrausender,1
abbrausendes,1
abbraust,1
abbrauste,1
abbrausten,1
abbrechen,1
abbrechende,1
abbrechendem,1
abbrechenden,1
abbrechendes,1
abbremsen,1
abbremsend,1
abbremsende,1
abbremsendem,1
abbremsenden,1
abbremsender,1
abbremst,1
abbremste,1
abbremsten,1
abbrennen,1
abbrennend,1
abbrennende,1
abbrennenden,1
abbrennender,1
abbrennendes,1
abbrennt,1
abbricht,1
abbringen,1
abbringend,1
abbringende,1
abbringendem,1
abbringender,1
abbringendes,1
abbringt,1
abbrockeln,1
abbrockelnd,1
abbrockelnde,1
abbrockelnden,1
abbrockelnder,1
abbrockelndes,1
abbrockelt,1
abbrockelte,1
abbrockelten,1
abbruch,1
abbrucharbeit,1
abbruchbedingung,1
abbruchobjekte,1
abbruchobjektes,1
abbruchreif,1
abbruchreifen,1
abbruchreifer,1
abbruchreifes,1
abbruchs,1
abbruchunternehmens,1
abbruchunternehmer,1
abbruchunternehmers,1
abbuchen,1
abbuchend,1
abbuchende,1
abbuchendem,1
abbuchender,1
abbuchendes,1
abbucht,1
abbuchte,1
abbuchten,1
abbuchungen,1
abburste,1
abbursten,1
abburstende,1
abburstendem,1
abburstenden,1
abburstendes,1
abburstet,1
abburstete,1
abbursteten,1
abc,1
abdanken,1
abdankend,1
abdankendem,1
abdankenden,1
abdankender,1
abdankt,1
abdankte,1
abdankten,1
abdankung,1
abdankungen,1
abdecken,1
abdeckende,1
abdeckendem,1
abdeckenden,1
abdeckendes,1
abdeckern,1
abdeckers,1
abdeckt,1
abdeckte,1
abdeckten,1
abdeckung,1
abdeckungen,1
abdichten,1
abdichtend,1
abdichtende,1
abdichtenden,1
abdichtender,1
abdichtendes,1
abdichtet,1
abdichtete,1
abdichteten,1
abdichtung,1
abdienen,1
abdienende,1
abdienenden,1
abdienender,1
abdient,1
abdiente,1
abdienten,1
abdrangen,1
abdrangt,1
abdrangte,1
abdrangten,1
abdrehen,1
abdrehend,1
abdrehenden,1
abdrehender,1
abdrehendes,1
abdrehte,1
abdrehten,1
abdrifte,1
abdriften,1
abdrifteten,1
abdrosseln,1
abdrosselnd,1
abdrosselnden,1
abdrosselnder,1
abdrosselndes,1
abdrosselte,1
abdrosselten,1
abdruck,1
abdrucke,1
abdrucken,1
abdruckend,1
abdruckende,1
abdruckendem,1
abdruckender,1
abdruckendes,1
abdruckes,1
abdrucks,1
abdruckt,1
abdruckte,1
abdruckten,1
abebbende,1
abebbender,1
abebbendes,1
abend,1
abendandachten,1
abendanzug,1
abendanzuge,1
abendblatt,1
abendblattes,1
abendbrot,1
abenddammerungen,1
abende,1
abenden,1
abendessen,1
abendessens,1
abendfullende,1
abendfullenden,1
abendfullender,1
abendgala,1
abendgarderobe,1
abendgebete,1
abendgebetes,1
abendgymnasien,1
abendhimmel,1
abendhimmels,1
abendkasse,1
abendkassen,1
